function,group,activity,year,amount,id
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи,2000,8.906905E7,1
Общи държавни служби,Изпълнителни и законодателни органи,Политически кабинет,2000,1017050.0,2
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по образованието,2000,2641200.0,3
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по здравеопазването,2000,1778740.0,4
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по социалното осигуряването,2000,1569480.0,5
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по регионалното развитие и благоустройство,2000,1.169993E7,6
Общи държавни служби,Изпълнителни и законодателни органи,"Централни държавни органи по културата,спорта и туризма",2000,3049000.0,7
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по икономическите дейности и услуги,2000,5.731509E7,8
Общи държавни служби,Изпълнителни и законодателни органи,Контролни държавни органи,2000,9.317324E7,9
Общи държавни служби,Изпълнителни и законодателни органи,Държавни агенции,2000,3.819589E7,10
Общи държавни служби,Изпълнителни и законодателни органи,Държавни комисии,2000,9822460.0,11
Общи държавни служби,Изпълнителни и законодателни органи,Изпълнителни агенции,2000,2.8700448E8,12
Общи държавни служби,Изпълнителни и законодателни органи,"Управление, контрол и регулиране на външните работи",2000,7286020.0,13
Общи държавни служби,Изпълнителни и законодателни органи,"Посолства, консулства, представителства и мисии в чужбина",2000,7.543799E7,14
Общи държавни служби,Изпълнителни и законодателни органи,Държавни и общински служби по изборите,2000,0.0,15
Общи държавни служби,Изпълнителни и законодателни органи,Областни администрации,2000,1.20803E7,16
Общи държавни служби,Изпълнителни и законодателни органи,Общинска администрация,2000,2.2556319E8,17
Общи държавни служби,Изпълнителни и законодателни органи,Общински районни съвети,2000,3065410.0,18
Общи държавни служби,Изпълнителни и законодателни органи,"Международни програми и споразумения, дарения и помощи от чужбина",2000,65340.0,19
Общи държавни служби,Изпълнителни и законодателни органи,Други изпълнителни и законодателни органи,2000,5661660.0,20
Общи държавни служби,Изпълнителни и законодателни органи,Общински съвети,2000,0.0,21
Общи държавни служби,Изпълнителни и законодателни органи,Държавни и общински служби и дейности по изборите,2000,0.0,22
Общи държавни служби,Изпълнителни и законодателни органи,"Общинска администрация – до финансиране с приходи с общински характер, дарения и други",2000,0.0,23
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по културата и спорта,2000,0.0,24
Общи държавни служби,Изпълнителни и законодателни органи,Контролни държавни и общински органи,2000,0.0,25
Общи държавни служби,Изпълнителни и законодателни органи,Членове на Европейския парлмент от Република България,2000,0.0,26
Общи държавни служби,Общи служби,"Статистически институт,служби и дейности,социологически проучвания и анкети",2000,1.548769E7,27
Общи държавни служби,Общи служби,Общоикономическо и социално програмиране и прогнозиране,2000,283480.0,28
Общи държавни служби,Общи служби,Регистрация и контрол на чуждестранните инвестиции,2000,481610.0,29
Общи държавни служби,Общи служби,Служби и дейности за връзки с българите в чужбина,2000,353770.0,30
Общи държавни служби,Общи служби,Служби и дейности за подпомагане на бежанците,2000,2385560.0,31
Общи държавни служби,Общи служби,Управление и администриране на получена чуждестранна помощ,2000,311020.0,32
Общи държавни служби,Общи служби,Управление на държавния резерв и военновременните запаси,2000,9.850728E7,33
Общи държавни служби,Общи служби,Управление на гражд.администрация и административно обслужване на населението,2000,0.0,34
Общи държавни служби,Общи служби,Други общи служби,2000,3379630.0,35
Общи държавни служби,Общи служби,Ликвидационна комисия за закрити бюджетни организации,2000,452350.0,36
