year,section,direction,program,type,amount,plusminus
2011,"Данъчни приходи","Преки данъци","Корпоративни данъци","от нефинансови предприятия",1540800000,Приходи
2011,"Данъчни приходи","Преки данъци","Корпоративни данъци","от финансови институции",1619000000,Приходи
2011,"Данъчни приходи","Преки данъци","Данък върху доходите на физическите лица","Данък върху доходите на физическите лица",2092400000,Приходи
2011,"Данъчни приходи","Преки данъци","Приходи на социалното и здравното осигуряване","Осигурителни вноски за държавно обществено осигуряване",4078800000,Приходи
2011,"Данъчни приходи","Преки данъци","Приходи на социалното и здравното осигуряване","Здравноосигурителни вноски",1661600000,Приходи
2011,"Данъчни приходи","Косвени данъци",ДДС,ДДС,6480000000,Приходи
2011,"Данъчни приходи","Косвени данъци",Акцизи,Акцизи,3800000000,Приходи
2011,"Данъчни приходи","Косвени данъци","Данък върху застрахователните премии","Данък върху застрахователните премии",200000000,Приходи
2011,"Данъчни приходи","Косвени данъци","Мита и митнически такси","Мита и митнически такси",1000000000,Приходи
2011,"Данъчни приходи","Такса върху производството на захар и изоглюкоза","Такса върху производството на захар и изоглюкоза","Такса върху производството на захар и изоглюкоза",12000000,Приходи
2011,"Данъчни приходи","Други данъци","Имуществени данъци","Имуществени данъци",5697000000,Приходи
2011,"Данъчни приходи","Други данъци","Други данъци по Закона за корпоративното подоходно облагане","Други данъци по Закона за корпоративното подоходно облагане",1782000000,Приходи
2011,"Данъчни приходи","Други данъци","Други данъци","Други данъци",32000000,Приходи
2011,"Неданъчни приходи","Трансфери от БНБ","Трансфери от БНБ","Трансфери от БНБ",3000000000,Приходи
2011,"Неданъчни приходи",Други,"Приходи от такси","Приходи от такси",156600002,Приходи
2011,"Неданъчни приходи",Други,"Приходи и доходи от собственост","Вноски от приходи на държ. /общин. предпр. и институции",832000000,Приходи
2011,"Неданъчни приходи",Други,"Приходи и доходи от собственост","Нетни приходи от продажби на услуги, стоки и продукция",6270000000,Приходи
2011,"Неданъчни приходи",Други,"Приходи и доходи от собственост","От наеми на имущество и земя",1649000000,Приходи
2011,"Неданъчни приходи",Други,"Приходи и доходи от собственост","Приходи от дивиденти",800000000,Приходи
2011,"Неданъчни приходи",Други,"Приходи и доходи от собственост","Приходи от лихви",859000000,Приходи
2011,"Неданъчни приходи",Други,"Глоби, санкции и наказателни лихви","Глоби, санкции и наказателни лихви",1423000000,Приходи
2011,"Неданъчни приходи",Други,"Постъпления от продажба на нефинансови активи","Постъпления от продажба на нефинансови активи",2133000000,Приходи
2011,"Неданъчни приходи",Други,"Приходи от концесии","Приходи от концесии",885000000,Приходи
2011,"Неданъчни приходи",Други,"Други неданъчни","Други неданъчни",-452000000,Приходи
2011,Помощи,"помощи от страната","помощи от страната","помощи от страната",145000000,Приходи
2011,Помощи,"външни помощи","външни помощи","външни помощи",2200000020,Приходи
