function,group,activity,year,id,amount
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи,2000,1,89069052
Общи държавни служби,Изпълнителни и законодателни органи,Политически кабинет,2000,2,1017053
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по образованието,2000,3,2641196
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по здравеопазването,2000,4,1778735
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по социалното осигуряването,2000,5,1569477
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по регионалното развитие и благоустройство,2000,6,11699929
Общи държавни служби,Изпълнителни и законодателни органи,"Централни държавни органи по културата,спорта и туризма",2000,7,3048998
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по икономическите дейности и услуги,2000,8,57315092
Общи държавни служби,Изпълнителни и законодателни органи,Контролни държавни органи,2000,9,93173239
Общи държавни служби,Изпълнителни и законодателни органи,Държавни агенции,2000,10,38195885
Общи държавни служби,Изпълнителни и законодателни органи,Държавни комисии,2000,11,9822460
Общи държавни служби,Изпълнителни и законодателни органи,Изпълнителни агенции,2000,12,287004477
Общи държавни служби,Изпълнителни и законодателни органи,"Управление, контрол и регулиране на външните работи",2000,13,7286016
Общи държавни служби,Изпълнителни и законодателни органи,"Посолства, консулства, представителства и мисии в чужбина",2000,14,75437988
Общи държавни служби,Изпълнителни и законодателни органи,Държавни и общински служби по изборите,2000,15,0
Общи държавни служби,Изпълнителни и законодателни органи,Областни администрации,2000,16,12080302
Общи държавни служби,Изпълнителни и законодателни органи,Общинска администрация,2000,17,225563187
Общи държавни служби,Изпълнителни и законодателни органи,Общински районни съвети,2000,18,3065408
Общи държавни служби,Изпълнителни и законодателни органи,"Международни програми и споразумения, дарения и помощи от чужбина",2000,19,65344
Общи държавни служби,Изпълнителни и законодателни органи,Други изпълнителни и законодателни органи,2000,20,5661658
Общи държавни служби,Изпълнителни и законодателни органи,Общински съвети,2000,21,0
Общи държавни служби,Изпълнителни и законодателни органи,Държавни и общински служби и дейности по изборите,2000,22,0
Общи държавни служби,Изпълнителни и законодателни органи,"Общинска администрация – до финансиране с приходи с общински характер, дарения и други",2000,23,0
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по културата и спорта,2000,24,0
Общи държавни служби,Изпълнителни и законодателни органи,Контролни държавни и общински органи,2000,25,0
Общи държавни служби,Изпълнителни и законодателни органи,Членове на Европейския парлмент от Република България,2000,26,0
Общи държавни служби,Общи служби,"Статистически институт,служби и дейности,социологически проучвания и анкети",2000,27,15487693
Общи държавни служби,Общи служби,Общоикономическо и социално програмиране и прогнозиране,2000,28,283480
Общи държавни служби,Общи служби,Регистрация и контрол на чуждестранните инвестиции,2000,29,481607
Общи държавни служби,Общи служби,Служби и дейности за връзки с българите в чужбина,2000,30,353769
Общи държавни служби,Общи служби,Служби и дейности за подпомагане на бежанците,2000,31,2385563
Общи държавни служби,Общи служби,Управление и администриране на получена чуждестранна помощ,2000,32,311017
Общи държавни служби,Общи служби,Управление на държавния резерв и военновременните запаси,2000,33,98507284
Общи държавни служби,Общи служби,Управление на гражд.администрация и административно обслужване на населението,2000,34,0
Общи държавни служби,Общи служби,Други общи служби,2000,35,3379631
