year,direction,cofog_direction_id,program,cofog_program_id,type,amount,id,cofog_direction_color
2011,"ОБЩИ ДЪРЖАВНИ СЛУЖБИ",admin,"ИЗПЪЛНИТЕЛНИ И ЗАКОНОДАТЕЛНИ ОРГАНИ",admin1,"Текущи разходи",1274300000,1,#555555
2011,"ОБЩИ ДЪРЖАВНИ СЛУЖБИ",admin,"ИЗПЪЛНИТЕЛНИ И ЗАКОНОДАТЕЛНИ ОРГАНИ",admin1,"Капиталови разходи",140100000,2,#555555
2011,"ОБЩИ ДЪРЖАВНИ СЛУЖБИ",admin,"ОБЩИ СЛУЖБИ",admin2,"Текущи разходи, вкл. прираст на държавния резерв",140000000,3,#555555
2011,"ОБЩИ ДЪРЖАВНИ СЛУЖБИ",admin,"ОБЩИ СЛУЖБИ",admin2,"Капиталови разходи",8500000,4,#555555
2011,"ОБЩИ ДЪРЖАВНИ СЛУЖБИ",admin,НАУКА,admin3,"Текущи разходи",198900000,5,#555555
2011,"ОБЩИ ДЪРЖАВНИ СЛУЖБИ",admin,НАУКА,admin3,"Капиталови разходи",5800000,6,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,ОТБРАНА,security1,"Текущи разходи",826300000,7,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,ОТБРАНА,security1,"Капиталови разходи",107300000,8,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,"ПОЛИЦИЯ, ВЪТРЕШЕН РЕД И СИГУРНОСТ",security2,"Текущи разходи",1102900000,9,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,"ПОЛИЦИЯ, ВЪТРЕШЕН РЕД И СИГУРНОСТ",security2,"Капиталови разходи",110700000,10,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,"СЪДЕБНА ВЛАСТ",security3,"Текущи разходи",432100000,11,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,"СЪДЕБНА ВЛАСТ",security3,"Капиталови разходи",15700000,12,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,"АДМИНИСТРАЦИЯ НА ЗАТВОРИТЕ",security4,"Текущи разходи",85600000,13,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,"АДМИНИСТРАЦИЯ НА ЗАТВОРИТЕ",security4,"Капиталови разходи",1900000,14,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,"ЗАЩИТА НА НАСЕЛЕНИЕТО, УПРАВЛЕНИЕ И ДЕЙНОСТИ ПРИ СТИХИЙНИ БЕДСТВИЯ И АВАРИИ",security5,"Текущи разходи",7500000,15,#555555
2011,"ОТБРАНА И СИГУРНОСТ",security,"ЗАЩИТА НА НАСЕЛЕНИЕТО, УПРАВЛЕНИЕ И ДЕЙНОСТИ ПРИ СТИХИЙНИ БЕДСТВИЯ И АВАРИИ",security5,"Капиталови разходи",1200000,16,#555555
2011,ОБРАЗОВАНИЕ,education,"Текущи разходи",education1,"Текущи разходи",2520200000,17,#555555
2011,ОБРАЗОВАНИЕ,education,"Капиталови разходи",education2,"Капиталови разходи",55700000,18,#555555
2011,ЗДРАВЕОПАЗВАНЕ,health,"Текущи разходи",health1,"Текущи разходи",2945600000,19,#555555
2011,ЗДРАВЕОПАЗВАНЕ,health,"Капиталови разходи",health2,"Капиталови разходи",45000000,20,#555555
2011,"СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ",social,ПЕНСИИ,social1,ПЕНСИИ,7095700000,21,#555555
2011,"СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ",social,"СОЦИАЛНИ ПОМОЩИ И ОБЕЗЩЕТЕНИЯ",social2,"СОЦИАЛНИ ПОМОЩИ И ОБЕЗЩЕТЕНИЯ",1945500000,22,#555555
2011,"СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ",social,"ПРОГРАМИ, ДЕЙНОСТИ И СЛУЖБИ ПО СОЦИАЛНОТО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ЗАЕТОСТТА",social3,"Текущи разходи",667400000,23,#555555
2011,"СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ",social,"ПРОГРАМИ, ДЕЙНОСТИ И СЛУЖБИ ПО СОЦИАЛНОТО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ЗАЕТОСТТА",social3,"Капиталови разходи",27400000,24,#555555
2011,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА",development,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО",development1,"Текущи разходи",224900000,25,#555555
2011,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА",development,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО",development1,"Капиталови разходи",1149800000,26,#555555
2011,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА",development,"ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА",development2,"Текущи разходи",473800000,27,#555555
2011,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА",development,"ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА",development2,"Капиталови разходи",540400000,28,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"ПОЧИВНО ДЕЛО",recreation1,"Текущи разходи",12600000,29,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"ПОЧИВНО ДЕЛО",recreation1,"Капиталови разходи",3500000,30,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"ФИЗИЧЕСКА КУЛТУРА И СПОРТ",recreation2,"Текущи разходи",56400000,31,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"ФИЗИЧЕСКА КУЛТУРА И СПОРТ",recreation2,"Капиталови разходи",22300000,32,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,КУЛТУРА,recreation3,"Текущи разходи",328100000,33,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,КУЛТУРА,recreation3,"Капиталови разходи",50000000,34,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"РЕЛИГИОЗНО ДЕЛО",recreation4,"Текущи разходи",3700000,35,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"РЕЛИГИОЗНО ДЕЛО",recreation4,"Капиталови разходи",1500000,36,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"МИННО ДЕЛО, ГОРИВА И ЕНЕРГИЯ",economics1,"Текущи разходи",32200000,37,#555555
